id_tj,organization,project_name,tech_level,principal,tech_field,coop_org,project_value,project_stage,ip_status,project_desc,id_hb,行业,year,reg_num,project_source,eval_org,id_jjj,项目年度编号,province,中图分类号,成果类别,关键词,application_field,应用行业代码,联系单位地址,传真,电子邮件,ID,技术领域,成果名称,成果简介,市场前景及效益分析,成果产出单位,取得的知识产权,district_code,location,省,市,区县
58.0,天津大学管理学院,金融机构风险管理技术的研究,国内领先,张维,,,25.00,初期阶段,,三、技术的创造性与先进性该项研究成果吸收了发达国家的最新演技成果并注重在我国的实证研究，利用我国的金融机构的实际数据设计和检验相关的风险管理模型，在此基础上分析和设计具有创造性。在研究方法上，引入了神经网络、决策树、相对有效性评估等新方法，与目前的计量经济、参数统计推断为主的方法相比是一个新的改进，并对定性研究提供了科学的支持。该项成果建立的管理模型和测量评价、监管框架和内部控制方法等已形成了较为完整的风险管理技术架构。四、技术的成熟程度，适用范围和安全性技术的成熟程度：该项成果经过实证检验，若能配合实际数据收集与整理，已可应用于金融机构的风险分析与控制的实际工作中。鉴定结论为：该项属于前沿性研究课题，在研究方法和理论上都有所突破，成果达到国内领先水平，部分成果达到国际先进水平。适用范围：1）、帮助银行、非银行金融机构有效管理金融风险，保障金融秩序安全。2）、利用非现场监管技术和商业银行内部控制方法监管、约束商业银行安全、高铲经营。3）、采用的工程技术领域中研究工具可以用来处理具有动态特性的数据作为预测、经营管理的基础。安全性：实证研究表明，该项技术安全性较好，可应用于金融机构风险管理的实际工作中。五、应用情况与存在的问题应用情况：本研究提出的部分技术已利用实际数据，对金融机构的风险管理与控制作了实证研究，实证结果反映了模型的有效性。存在的问题及改进意见：1）、使用的数据应当更加完整。2）、可以在风险管理技术引入模糊理论、粗糙集等技术。3）应当在利率市场化程度下，对金融机构的风险管理技术进行更精确的分析。			,,,,,,,,,,,,,,,,,,,,,,,,,120000,天津市,120000,120000,120000
60.0,南开大学,超高效绿色杀虫剂农药项目甲氨基阿维菌素苯甲酸盐小试合成技术,国内领先,徐凤波,资源与环境,,,中期阶段,,"甲胺基阿维菌素苯甲酸盐(甲维)是从生物发酵农药阿维菌素B1开始的一种新型高效半合成抗生素类生物杀虫杀螨剂。它具有新型、高效、无残留、无公害等生物农药的特点。比阿维菌素比较，首先杀虫活性提高了1-3个数量级，对鳞翅目昆虫的幼虫和其它部分害虫及螨虫活性极高，既有胃毒作用，又有良好的触杀作用，在非常低的剂量下具有很好的效果，而且在防治害虫的过程中对节肢动物没有伤害，另外，扩大了杀虫谱降低了对人畜的毒性。该项目有如下特点：1.技术先进：我们结合相关文献和国内原材料等具体情况，对国外工艺进行了建设性改进，于1999年底完成了此技术的小试合成工艺，以阿维菌素折算多步总收率45，同时合成出两种规格产品，纯度分别为60以上和90以上，两种产品约各占50。技术原料易得，没有三废，工业化容易，经天津市情报所查新合成工艺属国内首创。2.投资少：年产1000Kg规模，设备投资约50万元左右（分析设备除外），流动资金40-60万元。3.见效快：可在短期内实现生产，既可内销又可出口。4.效益好：原料阿维菌素0.45万元/Kg，甲维盐折百小试成本为1.5万元/Kg以下，生产成本为2.0万元以下,需求价格为4-6万元/千克（折百）。以年产1000Kg计算，年利润不低于1000万元。我们的技术在社会上已经引起了极大的反响，四十余家企业关注，国内知名农药企业南京红太阳、大连瑞泽、山东京博已经完成了技术转让合作，并各自完成了产品的扩试，即将向市场推出产品。南开周报、天津日报、每日新报、中国科技导报、中国化工报、中国化工网、天津电视台、中央电视七台等新闻机构竟相报道。技术产品在全国范围内得到推广应用后必将带来巨大的经济效益和社会效益，同时可以推动我国绿色环保型农业向前发展。合作方式：转让小试技术，可以提供公斤级产品和进行深层合作。			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,天津大学理学院,环境可降解塑料制备技术,国际先进,于九皋,,,20.00,中期阶段,发明专利知识产权名称：堆肥环境自降解塑料制备方法,该项技术经试生产表明生产工艺稳定可靠，可达工业化水平。但在应用方面应组织大面积的堆肥化应用实验，积累数据，进行改进，进一步推广。			,,,,,,,,,,,,,,,,,,,,,,,,,120000,天津市,120000,120000,120000
66.0,中国医学科学院生物医学工程研究所,多频立体复阻抗血流图检测技术的研究,国内先进,张辉,生物与医药,,2.40,初期阶段,,该成果有待于进一步完善后在考虑自行开发或以合作的方式及转让进行生产			,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,南开大学农药国家工程研究中心、天津市绿保农用化学科技开发有限公司,年产十吨单嘧磺隆原药中试技术,国际先进,李正名,现代农业,"南开大学农药国家工程研究中心,天津市绿保农用化学科技开发有限公司,",90.00,中期阶段,知识产权名称：磺酰脲类化合物及其除草用途,1、单嘧磺隆是南开大学创制开发的新磺酰脲类超高效除草剂，用药量很低、除草活性高、对人畜基本无毒，二年来经过5000亩的多省市旱田作物田间试验示范，证明其对小麦、玉米、谷子等旱田作物有优良的除草作用。尤其对目前缺药防治的麦田碱茅和谷田杂草效果优异，是一个有特色的新型绿色除草剂。2、单嘧磺隆中间试验在工业装置上通过连续七批的运行，对所设计制定的工艺操作规程和技术标准进行了验证，中间体磺酰胺纯度93，收率91.6；中间体胺基酯纯度92.9，收率92.7；中间体杂环纯度92.5，收率36.2；产品纯度93.7，收率93.4；均达到小试最佳水平，其生产能力为10吨/年水平。所提供的资料完整、翔实、数据可靠，为其产业化提供了可靠的技术与设计依据。3、建立了中试原料、中间体和产品的质量控制和分析工艺，对生产中的三废也有合理的处理办法。4、单嘧磺隆的化学结构为单取代杂环的新型磺酰脲类化合物，国内外尚无此产品的合成及应用报道，已获国家发明专利，是具有我国自主知识产权的成果，经过中试与大田实验证明，该高效除草剂，在药效、活性、广谱与成本等方面，与国际农药相比，具有独特优点。整个研制开发工作达到国际先进水平。经过专家组技术审查，一致同意通过单嘧磺隆的中间试验技术鉴定。*建议：建议天津市有关部门继续给予支持，尽快实现产业化、商品化，同时，继续研究开发，提高中间体杂环收率，深化技术经济分析，争取早日进入国际市场。			,,,,,,,,,,,,,,,,,,,,,,,,,120000,天津市,120000,120000,120000
80.0,南开大学生命科学学院,微生物强化采油技术,国际先进,刘如林,生物与医药,"大港油田地质勘探开发研究院,天津市金达石油新技术公司,",398.00,中期阶段,,"微生物提高石油采收率是生物技术在石油开发领域中的开拓性应用，属多学科交叉的综合性技术，因其具有适应性强，效率高，成本低，施工方便和不污染环境等优点，已成为一项新的三次采油技术及众多老油田新的经济增长点。研究人员经过多年联合攻关，已优选出大量适合不同油藏条件的采油微生物，建成了系列采油微生物菌种库和试验厂，建立了质检方法和质量标准，确立了从菌种筛选-性能评价-岩心模拟-菌剂生产-制定矿场试验方案-施工-跟踪检测-效果评价等一整套技术措施，并有很多创新，特别是在高温菌种的筛选评价，特高稠油藏、聚合物驱后油藏和超高温油藏的应用方面取得成功，经济效益和社会效益十分显著。""九五""期间应用该技术共增产原油5万余吨，创产值5000多万元，粗算综合效益在4600万元左右。该研究经专家鉴定认为，成果居国内领先并达到国外同类产品先进水平。曾获天津市97年度产学研联合突出贡献奖和98年度天津市科技进步一等奖。			",,,,,,,,,,,,,,,,,,,,,,,,,120000,天津市,120000,120000,120000
81.0,南开大学生命科学学院,利用现代生物技术构建采油微生物工程菌,国内领先,刘如林,生物与医药,,8.00,初期阶段,,"项目组从混合菌中选出了有效的嗜高蜡菌作为受体菌、嗜高胶油菌作为供体菌;采用DNA转化获得了既嗜蜡又嗜胶的重组菌株。利用原生质体融合技术得到在高温条件下,可利用烃类产表活剂的融合菌株;从质粒检测入手,对解烃基因的定位进行了深入研究。经过3年攻关,获得的N21融合菌和ZH20重组菌性能稳定，矿场应用效果良好，具有广泛使用范围,基因定位结果表明：高温下控制烃降解基因位于染色体上,小分子芳烃的降解利用主要由质粒基因调控。上述工作为通过基因工程手段构建采油微生物工程菌奠定了基础。			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.0,天津师范大学,用储藏蛋白和同工酶技术检测种子纯度,其他,王振英,现代农业,,4.00,初期阶段,,种子纯度是评价种子登记的主要依据，储藏蛋白和同工酶技术检测种子纯度方法，具有简单、快捷、结果准确可靠且费用低等特点。该技术是将不同作物种子或幼苗蛋白质在SDS-PAGE凝胶上进行分离，制作出不同作物、不同组织的蛋白质标准图谱，其它相同作物种子蛋白质和标准图谱进行比较，从而确定种子纯度与真伪。该技术的创造性与先进性在于：本实验室创建的超敏感银染全蛋白聚丙烯酰胺凝胶电泳方法是根据实际情况而设计的一种可靠、简易、低成本的种子纯度和真伪检测技术。由于银染具有超敏感性，使某些含量极微、不能由考马斯亮兰显示的蛋白质可以由银染方法而清晰地显示，同时由于全蛋白检测使蛋白质制备方法简化，防止了蛋白质样品在制备过程中某些种类的变性与损失和制备过程中可能造成的某些误差。因此，可以认为是一种较为理想的检测作物种子纯度与真伪性的方法。属国内先进。			,,,,,,,,,,,,,,,,,,,,,,,,,120000,天津市,120000,120000,120000
112.0,天津师范大学,利用核酸分子杂交技术诊断和检测大蒜病毒,其他,马筠,生物与医药,,2.50,初期阶段,,该项目研究在大蒜病毒的前期工作基础上，利用现代分子生物学手段，对感病的天津大蒜病毒进行了外壳蛋白基因的cDNA克隆，建立了分子杂交方法的病毒诊断技术，使得对寄生的病毒检测专一性更强，在与ELISA方法的比较中又进而确定了其灵敏度达到了ng级水平，完善了大蒜的病毒检测方法体系，不仅为生产实践的推广应用提供了灵敏可靠方法，也为下一步大蒜抗病毒基因工程奠定了基础。			,,,,,,,,,,,,,,,,,,,,,,,,,120000,天津市,120000,120000,120000
132.0,天津大学,高清晰度喉镜成象技术的研究,国际先进,马建英,先进制造与自动化,"天津市一中心医院,天津市天和医院,",3.00,成熟应用阶段,,随着改革开放的深入及人民生活水平的不断提高，对医疗保健提出了更高的要求，原先仅用器械对耳鼻喉的诊治已不能满足形势的发展。通过分析，我们认为国产喉镜质量差的原因主要是产品设计方案陈旧。为了提高我国这一领域的水平，我们于1997年提出了“高清晰度喉镜成象技术”这一课题，经天津市科学技术委员会通过专家审定。于1998.7批准对该项目立项，进行研制。按项目认定书，对该项目提出如下要求：1、设计一组高质量成象系统，装配后的视场角应≥50゜；2、采用先进的HOPKINS棒状镜中转系统；3、工作距在40mm时成清晰图象；4、研究镜体与显示系统的联系方式，并能对所显示的图象进行变换、存贮。技术原理：该项目的光学系统采用反摄远物镜，Hopkins棒状镜中转系统，并在镜体机制机构上考虑与显示系统相连，软件设计考虑医生和患者的需要。研究解决了高清晰成象及图象显示处理的关键问题，研制高清晰喉镜成象系统。本研究项目在光学系统的结构和设计上具有创造性和先进性，它能清晰地目视及显示喉部图像在显示器上，并能进行各种变换，便于医生对病情的诊断和手术，有很大的社会效益。该显示系统成本在4万左右，每台可售价7万，以年500台，可创收1500万/年，有极大的经济效益。该研究项目技术成熟，应用于喉部的诊断和技术，安全性能极高，可组织生产，扩大品种，有广阔的市场前景。通过这一项目的研制。我们已掌握了高质量内窥镜的设计、生产技术，并成功地使内窥镜的象质提到一个高的水平。但是，内窥镜本身是一种高科技产品，它不仅需要高水平的设计，而且对材料、加工及装配工艺均提出了很高的要求，与我国现有内窥镜企业的生产水平是不相适应的。因此，试制过程中困难较多，费用较大，按现有财力及时间，某些方面，有待进一步改善，但是这项研究使我们积累了丰富的经验。我们深信随着科学技术的发展，材料及加工水平的提高，经费的保证，我们一定能研制出更好的内窥镜，使我国的内窥镜工业水平达到国际先进水平。			,,,,,,,,,,,,,,,,,,,,,,,,,120000,天津市,120000,120000,120000
140.0,河北工业大学微电子研究所,ULSI多层铜布线CMP纳米材料抛光剂及抛光技术的研究,国际领先,刘玉岭,电子信息,,5.00,中期阶段,,分析了Cu布线CMP关键问题：①Cu2+与Cu+沾污；②选择性（介质与铜，凸部铜与凹部铜）；③金属离子螯合剂；④磨料选择；⑤表面清净化；⑥可控的高速率。一一进行创造性突破，并综合优化，实现了采用无污染20nmSiO2水溶胶做磨料，采用无金属离子沾污的醇胺，其可以起到pH调制剂，缓冲剂，促氧剂，高效络合剂等多项功能，并选用无金属离子氧化剂，依次解决胶冻与速率低、pH不稳定络合剂挥发、难以清洗等技术难题。最终发明了抛光速率高（500nm/min），可控，Cu2+络合效果好，选择性高（Cu:SiO2=400:10=40:1，国际通常5:1可用）、损伤层小、易清洗、洁净度高、成本低、生产效率高的多层Cu布线抛光剂。该成果已在中科院微电子中心应用，获得很好效果。该研究成果是在国内第一家，多项技术在国际上首次攻破，有很好的应用前景和经济社会效益。在研究与试验中得到中科院微电子中心夏洋教授、张国海博士的支持与帮助特此表示感谢！因目前国内只有0.25mm的生产线，所以该项目的应用数据有局限性。还需与台湾进一步联合，在更细的特征尺寸（今年台湾将试用0.13mm）上进行应用试验。			,,,,,,,,,,,,,,,,,,,,,,,,,130000,河北省,130000,130000,130000
141.0,河北工业大学微电子研究所,FA／O半导体材料切削液及技术的研究,国际先进,刘玉岭,电子信息,,6.00,中期阶段,,我们课题组根据微电子发展需要和特点，及国内外存在的上述问题，成功研究了效果好、成本低、新型FA/O切削剂，具有延长刀具寿命、减少修刀次数，提高切削、倒角效率、降低损伤和微裂且防锈、润滑、散热等特点。其创新点如下：1、选用无金属离子高效渗透剂用以提高效率，同时在刀具上形成一层保护膜以保护刀具。2、利用复合活性剂降低表面张力，减少摩擦，提高切削效率，减少应力与微裂。3、利用羟胺减少由于切、倒处温度高引起的离子沾污，防止锈蚀，提高切削速率。该成果经有研半导体材料股份有限公司和信息产业部电子46所对硅单晶切片、倒角使用效果表明：刀具寿命延长20以上，大大减少了修刀次数，切割更加稳定，使切割速度提高了15~20；倒角工序使用后表面光洁，磨轮寿命、片子质量均有显著提高，提高了质量、降低了成本，经济社会效益显著。			,,,,,,,,,,,,,,,,,,,,,,,,,130000,河北省,130000,130000,130000
